id,sex,work_xp,ssc_pct,ssc_board,hsc_pct,hsc_board,hsc_spc,degree_pct,degree_type,etest_pct,specialisation,mba_pct,salary,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
39,M,No,62,Central,47,Central,Commerce,50,Comm&Mgmt,76,Mkt&HR,54.96,,4,4,3,3,3,4,4,3,LessEmployable
40,F,No,77.8,Central,64,Central,Science,64.2,Sci&Tech,75.5,Mkt&HR,72.14,,5,5,5,5,5,4,4,5,Employable
41,F,No,61,Central,81,Central,Commerce,66.4,Comm&Mgmt,50.89,Mkt&HR,62.21,278000,5,5,5,5,5,4,4,5,Employable
42,M,No,80,Others,70,Others,Science,72,Sci&Tech,87,Mkt&HR,71.04,450000,5,4,5,5,5,4,4,3,Employable
43,M,Yes,60,Others,67,Others,Arts,70,Comm&Mgmt,50.48,Mkt&Fin,77.89,236000,5,4,5,5,5,4,4,5,Employable
44,F,No,63.4,Others,67.2,Others,Commerce,60,Comm&Mgmt,58.06,Mkt&HR,69.28,,4,3,4,3,4,3,3,5,LessEmployable
45,M,No,63,Central,67,Central,Commerce,74,Comm&Mgmt,82,Mkt&Fin,60.44,,5,4,5,5,4,4,4,5,LessEmployable
46,M,Yes,52,Others,65,Others,Arts,57,Others,75,Mkt&Fin,59.81,,5,3,4,4,3,4,3,5,LessEmployable
47,F,No,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,68,Mkt&HR,71.63,,5,3,3,3,4,3,3,3,LessEmployable
48,F,No,76,Central,64,Central,Science,72,Sci&Tech,58,Mkt&HR,66.53,,5,4,5,5,5,4,4,5,Employable
49,F,No,55,Central,67,Central,Commerce,64,Comm&Mgmt,60,Mkt&Fin,67.28,,5,5,5,5,5,4,4,3,Employable
50,F,No,72,Central,56,Others,Science,69,Comm&Mgmt,55.6,Mkt&HR,65.63,200000,5,4,5,5,5,4,4,5,Employable
51,M,No,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,97.4,Mkt&Fin,74.01,360000,5,5,5,5,5,5,4,5,Employable
52,M,Yes,63,Central,60,Central,Commerce,57,Comm&Mgmt,78,Mkt&Fin,54.55,204000,5,4,5,5,5,4,4,5,Employable
53,M,Yes,80.4,Central,73.4,Central,Science,77.72,Sci&Tech,81.2,Mkt&HR,76.26,400000,5,5,5,5,5,5,4,5,Employable
54,F,Yes,77.44,Central,92,Others,Commerce,72,Comm&Mgmt,94,Mkt&Fin,67.13,250000,5,4,5,5,4,4,4,3,Employable
55,F,No,73.96,Others,79,Others,Commerce,67,Comm&Mgmt,72.15,Mkt&Fin,63.08,280000,5,3,4,4,4,4,3,5,LessEmployable
56,M,No,60.4,Central,66.6,Others,Science,65,Comm&Mgmt,71,Mkt&HR,52.71,220000,4,4,4,4,3,4,4,5,LessEmployable
57,M,No,58,Central,62,Central,Commerce,64,Comm&Mgmt,53.88,Mkt&Fin,54.97,260000,5,4,5,5,5,4,4,4,Employable
58,M,Yes,67,Others,67,Others,Commerce,73,Comm&Mgmt,59,Mkt&Fin,69.72,295000,4,5,4,4,4,5,4,5,Employable
59,M,No,61,Central,82,Central,Commerce,69,Comm&Mgmt,84,Mkt&Fin,58.31,300000,4,3,3,3,3,3,3,5,Employable
60,F,Yes,60,Central,63,Central,Arts,56,Others,80,Mkt&HR,56.63,300000,4,4,4,4,5,4,4,5,LessEmployable
61,F,No,54,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,95.65,Mkt&Fin,66.94,,3,3,3,4,3,3,3,5,Employable
62,F,Yes,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,76,Mkt&Fin,65.33,,4,4,4,3,3,3,3,5,Employable
63,F,No,69.7,Central,47,Central,Commerce,72.7,Sci&Tech,79,Mkt&HR,59.24,,4,4,4,3,4,3,3,4,LessEmployable
64,F,No,63,Central,66,Central,Commerce,64,Comm&Mgmt,68,Mkt&HR,64.08,,4,4,4,4,4,4,4,4,Employable
65,F,Yes,66.5,Central,66.8,Central,Arts,69.3,Comm&Mgmt,80.4,Mkt&Fin,71,236000,3,3,3,4,3,3,3,5,Employable
66,F,No,72,Others,60,Others,Science,69,Comm&Mgmt,55.5,Mkt&HR,58.4,250000,5,5,3,5,3,5,5,5,Employable
67,M,Yes,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,73.35,Mkt&Fin,64.15,350000,4,4,4,4,4,4,4,5,Employable
68,F,No,66,Central,62,Central,Commerce,73,Comm&Mgmt,58,Mkt&HR,64.36,210000,4,5,5,5,5,5,5,5,Employable
69,F,Yes,48,Central,51,Central,Commerce,58,Comm&Mgmt,60,Mkt&HR,58.79,,4,4,4,4,4,4,4,4,Employable
70,F,No,73,Others,58,Others,Science,66,Comm&Mgmt,53.7,Mkt&HR,56.86,240000,4,3,3,3,3,3,3,5,Employable
71,F,No,78,Central,77,Others,Commerce,80,Comm&Mgmt,60,Mkt&Fin,66.72,287000,3,4,3,4,3,4,3,5,Employable
72,M,Yes,67.9,Others,62,Others,Science,67,Sci&Tech,58.1,Mkt&Fin,75.71,,4,4,4,4,4,4,4,5,LessEmployable
73,M,No,55.6,Others,51,Others,Commerce,57.5,Comm&Mgmt,57.63,Mkt&HR,62.72,,4,3,3,3,4,3,4,5,LessEmployable
74,M,Yes,77,Central,70,Central,Commerce,59,Comm&Mgmt,58,Mkt&Fin,54.43,220000,4,4,4,4,3,4,3,4,Employable
75,M,Yes,76,Central,80,Central,Science,78,Sci&Tech,97,Mkt&HR,70.48,276000,3,4,4,4,3,4,3,5,Employable
76,F,No,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,55.53,Mkt&HR,68.81,360000,5,4,4,4,4,4,4,5,Employable
77,F,Yes,74.9,Others,57,Others,Science,62,Others,80,Mkt&Fin,60.78,360000,4,4,4,3,3,4,4,5,Employable
78,M,No,59,Central,64,Others,Science,58,Sci&Tech,85,Mkt&HR,55.3,,3,4,4,3,4,4,3,5,LessEmployable
79,M,Yes,62,Others,62,Others,Commerce,60,Comm&Mgmt,63,Mkt&HR,52.38,240000,4,3,2,3,2,2,3,5,Employable
80,M,Yes,73,Central,78,Central,Science,73,Sci&Tech,85,Mkt&HR,65.83,240000,4,3,4,3,4,3,3,4,Employable
81,M,No,67,Others,63,Others,Science,64,Sci&Tech,60,Mkt&Fin,61.87,,4,4,3,4,3,4,3,5,LessEmployable
82,M,No,81,Others,68,Others,Science,64,Sci&Tech,93,Mkt&Fin,62.56,411000,4,4,4,4,3,3,3,5,Employable
83,M,No,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,84.27,Mkt&Fin,67.2,336000,5,3,3,4,3,3,3,4,LessEmployable
84,M,No,62,Central,65,Others,Commerce,60,Comm&Mgmt,84,Mkt&Fin,64.15,,4,3,3,3,3,3,2,5,Employable
85,F,No,83.96,Others,53,Others,Science,91,Sci&Tech,59.32,Mkt&HR,69.71,260000,3,4,4,4,4,4,4,5,Employable
86,M,No,61,Others,62,Others,Commerce,65,Comm&Mgmt,62,Mkt&Fin,56.81,250000,4,5,4,5,4,4,4,5,Employable
87,F,No,77,Central,86,Central,Arts,56,Others,57,Mkt&Fin,64.08,240000,4,4,4,3,4,4,3,5,LessEmployable
88,M,No,62,Central,72,Central,Commerce,65,Comm&Mgmt,67,Mkt&Fin,56.49,216000,4,4,4,4,3,4,4,5,Employable
89,F,Yes,77,Others,61,Others,Commerce,68,Comm&Mgmt,57.5,Mkt&Fin,61.31,300000,5,5,5,5,5,5,4,5,Employable
90,M,Yes,82,Central,64,Central,Science,66,Sci&Tech,67,Mkt&Fin,62.14,252000,3,3,3,3,3,2,2,4,Employable
91,M,No,51,Others,54,Others,Science,61,Sci&Tech,60,Mkt&HR,60.64,,4,4,4,4,4,4,3,5,LessEmployable
92,F,Yes,74,Others,73,Others,Commerce,73,Comm&Mgmt,80,Mkt&Fin,67.69,210000,4,4,4,4,4,4,4,5,LessEmployable
93,F,No,52,Others,52,Others,Science,55,Sci&Tech,67,Mkt&HR,59.32,,4,3,3,3,3,3,2,5,Employable
94,M,Yes,44,Central,58,Central,Arts,55,Comm&Mgmt,64.25,Mkt&HR,58.54,,5,4,4,4,4,4,4,4,Employable
95,F,No,88,Central,72,Central,Science,78,Others,82,Mkt&HR,71.43,252000,3,3,3,3,3,3,3,5,LessEmployable
96,F,No,75.4,Others,60.5,Central,Science,84,Sci&Tech,98,Mkt&Fin,65.25,240000,4,3,4,3,3,3,3,5,Employable
97,M,No,54,Others,47,Others,Science,57,Comm&Mgmt,89.69,Mkt&HR,57.1,,4,3,4,3,3,3,2,5,Employable
98,F,No,56.28,Others,62.83,Others,Commerce,59.79,Comm&Mgmt,60,Mkt&HR,57.29,,2,2,3,3,3,3,3,5,LessEmployable
99,M,No,68,Others,56,Others,Science,68,Sci&Tech,73,Mkt&HR,68.07,350000,4,4,3,4,3,4,3,4,LessEmployable
100,F,Yes,45,Others,57,Others,Commerce,58,Comm&Mgmt,56.39,Mkt&HR,64.95,,4,4,4,3,3,4,3,5,Employable
101,F,No,47,Central,59,Central,Arts,64,Comm&Mgmt,78,Mkt&Fin,61.58,,4,4,5,4,4,4,4,5,LessEmployable
102,M,No,67,Others,91,Others,Commerce,58,Sci&Tech,55,Mkt&HR,58.8,270000,5,4,4,4,4,3,3,5,LessEmployable
103,M,Yes,66,Central,76,Central,Commerce,72,Comm&Mgmt,84,Mkt&HR,58.95,275000,4,4,4,4,3,4,3,5,LessEmployable
104,M,No,62,Central,67,Central,Commerce,58,Comm&Mgmt,77,Mkt&Fin,51.29,,4,4,4,4,4,4,4,5,LessEmployable
105,F,Yes,77.4,Others,60,Others,Science,64.74,Sci&Tech,92,Mkt&Fin,63.62,300000,4,5,4,4,4,4,4,5,LessEmployable
106,M,No,52,Central,57,Central,Commerce,50.8,Comm&Mgmt,67,Mkt&HR,62.79,,5,5,4,5,5,5,5,5,Employable
107,M,No,65,Central,68,Central,Arts,64,Comm&Mgmt,75,Mkt&Fin,57.8,250000,4,4,4,4,4,4,4,5,Employable
108,M,No,62,Central,58,Others,Science,53,Comm&Mgmt,89,Mkt&HR,60.22,,5,4,4,4,4,4,3,4,LessEmployable
109,M,No,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,57.6,Mkt&Fin,56.66,265000,5,4,4,4,4,4,3,3,LessEmployable
110,M,No,52,Central,62,Central,Commerce,54,Comm&Mgmt,72,Mkt&HR,55.41,,5,5,4,4,5,4,5,3,LessEmployable
111,M,No,80.92,Others,78.5,Others,Commerce,67,Comm&Mgmt,68.71,Mkt&Fin,60.99,275000,5,4,4,4,4,4,3,5,Employable
112,M,Yes,67,Others,68,Others,Commerce,64,Comm&Mgmt,74.4,Mkt&HR,53.49,300000,5,4,4,4,4,4,3,5,Employable
113,M,Yes,67,Central,71,Central,Science,64.33,Others,64,Mkt&HR,61.26,250000,5,5,4,4,5,4,4,5,Employable
114,M,No,67,Others,61,Central,Science,72,Comm&Mgmt,72,Mkt&Fin,61.01,264000,4,3,4,4,4,3,3,4,Employable
115,M,No,82,Others,90,Others,Commerce,83,Comm&Mgmt,80,Mkt&HR,73.52,200000,5,4,3,3,3,4,4,5,LessEmployable
116,M,No,62,Others,65,Others,Commerce,66,Comm&Mgmt,50,Mkt&HR,56.7,265000,5,5,5,5,5,5,5,5,Employable
117,F,Yes,64,Central,67,Others,Science,69.6,Sci&Tech,55.67,Mkt&HR,71.49,250000,5,4,5,5,5,5,4,5,Employable
118,F,No,60.23,Central,69,Central,Science,66,Comm&Mgmt,72,Mkt&Fin,59.47,230000,5,4,5,5,5,5,4,5,Employable
119,M,Yes,71,Others,79,Others,Commerce,66,Comm&Mgmt,94,Mkt&Fin,57.55,240000,5,3,5,4,4,3,3,5,Employable
120,F,No,64,Central,73.5,Central,Commerce,73,Comm&Mgmt,52,Mkt&HR,56.7,250000,5,4,5,5,5,4,4,4,Employable
121,M,Yes,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,93.4,Mkt&Fin,57.34,270000,5,3,5,4,4,4,3,4,LessEmployable
122,F,No,69.5,Central,70,Central,Science,72,Sci&Tech,57.2,Mkt&HR,54.8,250000,5,5,5,5,5,4,3,4,Employable
123,M,Yes,81.7,Others,63,Others,Science,67,Comm&Mgmt,86,Mkt&Fin,70.2,300000,5,5,5,5,5,5,3,5,Employable
124,M,No,63,Others,62,Others,Science,65,Sci&Tech,87.5,Mkt&HR,60.69,,5,4,4,4,4,4,4,5,LessEmployable
125,M,Yes,74,Central,70,Central,Science,72,Comm&Mgmt,60,Mkt&Fin,57.24,260000,4,3,4,4,4,3,3,5,LessEmployable
126,F,No,67,Central,70,Central,Commerce,65,Others,88,Mkt&HR,71.96,,4,4,4,4,4,4,3,5,LessEmployable
127,F,No,69,Central,62,Central,Science,66,Sci&Tech,75,Mkt&HR,67.99,,4,4,5,4,4,4,3,5,LessEmployable
128,M,No,77.67,Others,64.89,Others,Commerce,70.67,Comm&Mgmt,89,Mkt&Fin,60.39,300000,5,3,5,4,5,5,3,5,Employable
129,M,No,82,Others,61,Others,Science,62,Sci&Tech,89,Mkt&Fin,65.45,360000,5,3,3,3,3,3,2,5,Employable
130,M,No,83,Others,74,Others,Science,66,Comm&Mgmt,68.92,Mkt&HR,58.46,275000,4,3,4,3,4,3,4,4,Employable
131,M,Yes,73.24,Others,50.83,Others,Science,64.27,Sci&Tech,64,Mkt&Fin,66.23,500000,4,3,4,4,4,3,3,3,Employable
132,M,Yes,84,Others,79,Others,Science,68,Sci&Tech,84,Mkt&Fin,66.69,300000,4,3,3,2,3,2,3,4,Employable
133,M,Yes,74,Others,59,Others,Commerce,73,Comm&Mgmt,60,Mkt&HR,56.7,240000,5,5,5,5,5,5,4,5,LessEmployable
134,M,Yes,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,86.5,Mkt&Fin,66.28,200000,4,3,4,3,4,3,4,5,LessEmployable
135,M,Yes,76.7,Central,89.7,Others,Commerce,66,Comm&Mgmt,90,Mkt&Fin,68.55,250000,3,3,4,4,4,3,3,4,LessEmployable
136,F,No,73,Others,63,Others,Science,66,Comm&Mgmt,89,Mkt&Fin,60.5,216000,4,3,4,4,4,3,3,5,Employable
137,M,Yes,80,Others,80,Others,Commerce,72,Comm&Mgmt,63.79,Mkt&Fin,66.04,290000,4,4,4,4,4,3,3,5,Employable
138,F,Yes,77,Others,73,Others,Commerce,81,Comm&Mgmt,89,Mkt&Fin,69.7,200000,4,4,5,5,4,5,5,5,LessEmployable
139,F,Yes,76,Central,70,Central,Science,76,Comm&Mgmt,66,Mkt&Fin,64.44,300000,4,5,5,5,5,4,5,5,Employable
140,F,Yes,79,Others,61,Others,Science,75.5,Sci&Tech,70,Mkt&Fin,68.2,210000,4,5,5,5,5,4,5,5,Employable
141,M,No,52,Central,49,Others,Commerce,58,Comm&Mgmt,62,Mkt&HR,60.59,,4,4,3,4,4,4,4,5,LessEmployable
142,M,No,84,Others,90.9,Others,Science,64.5,Sci&Tech,86.04,Mkt&Fin,59.42,270000,4,3,4,4,4,3,3,4,LessEmployable
143,M,Yes,87,Central,74,Central,Science,65,Sci&Tech,75,Mkt&HR,72.29,300000,4,3,4,4,3,4,4,5,LessEmployable
144,M,Yes,70,Central,63,Others,Science,70,Sci&Tech,55,Mkt&Fin,62,300000,3,3,4,4,4,4,4,5,LessEmployable
145,M,Yes,72,Others,63,Others,Science,77.5,Sci&Tech,78,Mkt&Fin,54.48,250000,5,4,4,4,5,4,5,5,LessEmployable
146,F,No,64,Others,70.2,Central,Commerce,61,Comm&Mgmt,50,Mkt&Fin,62.5,,3,3,3,3,4,3,3,3,Employable
147,F,Yes,65,Central,75,Central,Commerce,69,Comm&Mgmt,72,Mkt&Fin,64.66,200000,3,3,4,3,4,3,3,3,Employable
148,M,No,63,Others,62,Others,Commerce,68,Comm&Mgmt,64,Mkt&Fin,62.46,250000,3,4,3,4,3,4,3,5,Employable
149,M,No,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,61.6,Mkt&Fin,62.48,300000,4,4,4,3,4,4,3,4,LessEmployable
150,F,No,74,Others,66,Others,Commerce,58,Comm&Mgmt,70,Mkt&HR,60.23,204000,5,4,4,3,3,4,4,4,LessEmployable
151,M,No,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,93.4,Mkt&Fin,55.03,300000,4,3,2,4,3,4,3,5,LessEmployable
152,F,No,74,Central,60,Others,Science,69,Comm&Mgmt,78,Mkt&HR,65.56,216000,5,5,5,4,5,4,5,5,LessEmployable
153,M,No,84.86,Others,67,Others,Science,78,Comm&Mgmt,95.5,Mkt&Fin,68.53,240000,4,2,4,4,3,3,3,5,LessEmployable
154,M,No,69,Others,60,Others,Commerce,65,Comm&Mgmt,87.55,Mkt&Fin,52.81,300000,5,5,5,5,5,5,5,5,LessEmployable
155,M,No,54,Central,82,Others,Commerce,63,Sci&Tech,50,Mkt&Fin,59.47,,4,3,3,4,3,3,3,3,Employable
156,M,No,65,Central,68,Others,Science,69,Comm&Mgmt,53.7,Mkt&HR,55.01,250000,5,4,3,3,3,3,2,3,LessEmployable
157,M,No,63,Central,72,Central,Commerce,68,Comm&Mgmt,78,Mkt&HR,60.44,380000,5,5,5,5,5,4,5,5,Employable
158,M,No,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,86,Mkt&Fin,59.75,218000,4,5,5,5,5,5,5,3,LessEmployable
159,M,No,62,Central,63,Others,Science,66,Comm&Mgmt,85,Mkt&HR,55.14,233000,4,5,5,3,3,5,3,5,LessEmployable
160,M,No,66,Central,64,Central,Science,60,Comm&Mgmt,60,Mkt&HR,61.9,,4,5,3,5,5,5,3,5,Employable
161,M,No,80.6,Others,82,Others,Commerce,77.6,Comm&Mgmt,91,Mkt&Fin,74.49,400000,3,5,5,3,5,5,3,5,Employable
162,M,No,65,Central,77,Central,Commerce,69,Comm&Mgmt,60,Mkt&HR,61.82,276000,3,3,3,3,3,3,3,5,Employable
163,M,No,59.96,Others,42.16,Others,Science,61.26,Sci&Tech,54.48,Mkt&HR,65.48,,4,3,4,4,4,3,3,5,Employable
164,M,Yes,65,Central,71.5,Others,Commerce,62.8,Comm&Mgmt,57,Mkt&Fin,56.6,265000,4,3,4,2,2,2,2,5,LessEmployable
165,M,Yes,71,Central,58.66,Central,Science,58,Sci&Tech,56,Mkt&Fin,61.3,690000,3,2,3,3,3,3,3,5,LessEmployable
166,F,No,79,Others,76,Others,Commerce,85,Comm&Mgmt,95,Mkt&Fin,69.06,393000,5,5,4,5,4,5,4,5,LessEmployable
167,F,No,47,Central,55,Others,Science,65,Comm&Mgmt,62,Mkt&HR,65.04,,3,4,3,4,3,4,3,5,Employable
168,F,No,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,59,Mkt&Fin,59.69,240000,4,3,3,3,3,3,3,5,Employable
169,M,No,68,Central,76,Central,Commerce,74,Comm&Mgmt,80,Mkt&Fin,63.59,360000,5,4,4,4,4,4,4,5,Employable
170,M,Yes,73,Central,78,Others,Commerce,65,Comm&Mgmt,95.46,Mkt&Fin,62.16,420000,4,4,4,4,4,4,4,4,Employable
171,M,Yes,69,Central,63,Others,Science,65,Comm&Mgmt,55,Mkt&HR,58.23,360000,4,4,4,4,3,3,3,5,LessEmployable
172,F,No,52,Central,64,Central,Commerce,61,Comm&Mgmt,55,Mkt&Fin,62.93,,5,4,5,5,5,5,4,5,LessEmployable
173,M,No,58,Others,40,Others,Science,59,Comm&Mgmt,73,Mkt&HR,58.81,,3,4,3,3,3,3,3,5,LessEmployable
174,F,No,46,Others,49.2,Others,Commerce,79,Comm&Mgmt,74.28,Mkt&Fin,53.29,,4,3,3,3,3,3,3,5,Employable
175,M,No,61.08,Others,50,Others,Science,54,Sci&Tech,71,Mkt&Fin,65.69,,4,5,4,4,4,4,4,5,LessEmployable
176,M,Yes,68.2,Central,72.8,Central,Commerce,66.6,Comm&Mgmt,96,Mkt&Fin,70.85,300000,5,4,4,4,4,4,4,5,Employable
177,M,No,58,Others,60,Others,Science,72,Sci&Tech,74,Mkt&Fin,53.62,275000,5,5,4,5,4,4,5,4,Employable
178,M,No,62,Central,60.33,Others,Science,64.21,Sci&Tech,63,Mkt&HR,60.02,,4,4,4,4,5,5,5,3,Employable
179,M,Yes,49,Others,59,Others,Science,65,Sci&Tech,86,Mkt&Fin,62.48,340000,4,3,3,4,3,3,3,5,LessEmployable
180,M,No,51,Central,44,Central,Commerce,57,Comm&Mgmt,64,Mkt&Fin,51.45,,4,5,5,5,4,4,4,5,Employable
181,M,No,59.6,Central,51,Central,Science,60,Others,75,Mkt&HR,59.08,,4,4,4,3,3,4,3,5,Employable
182,M,No,58,Others,61,Others,Commerce,61,Comm&Mgmt,58,Mkt&HR,53.94,250000,4,4,4,3,3,4,3,5,Employable
183,M,No,49,Others,39,Central,Science,65,Others,63,Mkt&Fin,51.21,,4,5,4,5,5,5,5,5,Employable
184,F,Yes,69,Others,62,Others,Commerce,69,Comm&Mgmt,67,Mkt&HR,62.35,240000,4,4,4,4,4,4,3,5,Employable
185,M,Yes,65,Central,64.8,Others,Commerce,69.5,Comm&Mgmt,56,Mkt&Fin,56.94,265000,4,3,3,3,3,3,2,5,LessEmployable
186,M,Yes,84.2,Central,69.4,Central,Science,65,Sci&Tech,80,Mkt&HR,52.72,255000,3,3,3,2,3,3,3,5,LessEmployable
187,M,No,89.4,Others,65.66,Others,Science,71.25,Sci&Tech,72,Mkt&HR,63.23,400000,4,4,3,3,4,4,3,5,Employable
188,M,No,65,Central,65,Central,Commerce,75,Comm&Mgmt,83,Mkt&Fin,58.87,270000,4,4,3,3,3,3,3,5,Employable
